Date,AAPL,GOOGL,MMM
2017-03-17,-0.00497547800128,0.00272413793103,0.0107718984814
2017-03-20,0.0105007500536,-0.00511250960028,0.00337908089
2017-03-21,-0.0114520005655,-0.0204744731597,-0.00455934925652
2017-03-22,0.0112986270023,-0.000399934128496,0.000468432831937
2017-03-23,-0.00353556781219,-0.0119439868204,-0.000416189782541
2017-03-24,-0.00198694294635,-0.00537128565474,-0.00327885916519
2017-03-27,0.00170648464164,0.00403525157459,-0.00563939219884
2017-03-28,0.0207268597388,0.0025282942362,0.00294071312293
2017-03-29,0.00222531293463,0.0109917561829,-0.0016231216294
2017-03-30,-0.00131834582293,-0.000458893713156,0.00314663310258
2017-03-31,-0.00187591190162,-0.00197768046334,0.000261396905061
2017-04-03,0.000278435194208,0.010556735079,-0.00318820885381
